58205.47905	2.62E-05	3.08E-06
58206.43065	2.59E-05	3.07E-06
58210.47966	2.73E-05	3.12E-06
58228.46905	1.89E-05	2.67E-06
58228.47	2.43E-05	3.00E-06
58228.4944	2.53E-05	3.05E-06
58229.47579	2.31E-05	2.95E-06
58229.49147	2.09E-05	2.82E-06
58231.42784	2.16E-05	2.86E-06
58231.46775	2.34E-05	2.97E-06
58234.40828	3.27E-05	3.28E-06
58237.34729	3.80E-05	3.41E-06
58237.47219	2.61E-05	3.07E-06
58237.4741	2.92E-05	3.18E-06
58244.42597	1.92E-05	2.69E-06
58247.38696	2.02E-05	2.76E-06
58252.43567	2.34E-05	2.97E-06
58258.32053	2.19E-05	2.88E-06
58258.37093	2.69E-05	3.10E-06
58258.37233	2.14E-05	2.85E-06
58261.4327	1.91E-05	2.69E-06
58261.43361	2.07E-05	2.80E-06
58261.45328	2.22E-05	2.90E-06
58262.41578	2.42E-05	3.00E-06
58262.42632	2.44E-05	3.01E-06
58262.45214	2.18E-05	2.87E-06
58266.43407	3.11E-05	3.24E-06
58272.39038	2.39E-05	2.99E-06
58278.37094	2.19E-05	2.88E-06
58281.28258	2.47E-05	3.02E-06
58288.34539	2.33E-05	2.97E-06
58288.36252	1.87E-05	2.66E-06
58288.4035	1.74E-05	2.55E-06
58290.20302	1.82E-05	2.62E-06
58290.22194	1.89E-05	2.67E-06
58290.24256	2.42E-05	3.00E-06
58290.24347	2.51E-05	3.03E-06
58291.34307	2.38E-05	2.98E-06
58291.43025	1.93E-05	2.70E-06
58292.34654	2.43E-05	3.00E-06
58292.43148	2.13E-05	2.84E-06
58293.35075	1.87E-05	2.65E-06
58293.35167	2.29E-05	2.95E-06
58294.21872	2.49E-05	3.03E-06
58294.37235	2.30E-05	2.95E-06
58296.45664	2.85E-05	3.16E-06
58298.21877	2.61E-05	3.08E-06
58299.18501	2.40E-05	2.99E-06
58299.22174	2.23E-05	2.91E-06
58303.41144	3.06E-05	3.22E-06
58303.41491	1.87E-05	2.66E-06
58305.22259	2.07E-05	2.80E-06
58305.31089	2.56E-05	3.06E-06
58305.32167	2.53E-05	3.05E-06
58306.3255	2.32E-05	2.96E-06
58306.32925	2.38E-05	2.99E-06
58306.34569	1.97E-05	2.73E-06
58307.24039	2.09E-05	2.81E-06
58307.32618	2.31E-05	2.96E-06
58308.21905	2.26E-05	2.92E-06
58308.39507	2.14E-05	2.85E-06
58310.34641	2.11E-05	2.83E-06
58311.34744	2.53E-05	3.04E-06
58311.37079	2.36E-05	2.97E-06
58312.35203	2.28E-05	2.94E-06
58313.24602	2.53E-05	3.05E-06
58313.24785	2.76E-05	3.13E-06
58313.32625	2.53E-05	3.04E-06
58313.34493	2.38E-05	2.98E-06
58314.32791	2.55E-05	3.05E-06
58314.34302	2.24E-05	2.91E-06
58314.37069	2.19E-05	2.88E-06
58315.41185	2.26E-05	2.93E-06
58316.36515	2.74E-05	3.12E-06
58316.36609	2.33E-05	2.96E-06
58316.38664	2.27E-05	2.93E-06
58317.34906	1.75E-05	2.56E-06
58317.3701	2.15E-05	2.86E-06
58318.38819	2.41E-05	3.00E-06
58318.40699	2.56E-05	3.06E-06
58318.43149	2.59E-05	3.07E-06
58319.36499	2.36E-05	2.98E-06
58319.36684	2.77E-05	3.13E-06
58319.38964	2.93E-05	3.18E-06
58320.4089	2.15E-05	2.86E-06
58320.43336	2.59E-05	3.07E-06
58321.38733	2.45E-05	3.01E-06
58321.41256	2.34E-05	2.97E-06
58321.42582	2.18E-05	2.87E-06
58322.19656	2.22E-05	2.90E-06
58322.223	2.61E-05	3.08E-06
58322.22392	2.11E-05	2.83E-06
58323.38903	2.51E-05	3.04E-06
58323.41005	3.20E-05	3.26E-06
58323.42786	2.49E-05	3.03E-06
58324.42358	3.33E-05	3.30E-06
58327.20334	3.30E-05	3.29E-06
58328.18642	3.02E-05	3.21E-06
58330.19691	2.69E-05	3.10E-06
58331.24976	2.68E-05	3.10E-06
58331.25547	2.16E-05	2.86E-06
58331.30134	2.62E-05	3.08E-06
58332.20179	2.20E-05	2.89E-06
58334.30612	2.82E-05	3.15E-06
58337.365	2.57E-05	3.06E-06
58343.31087	2.35E-05	2.97E-06
58346.3267	2.45E-05	3.01E-06
58349.15631	2.24E-05	2.92E-06
58349.18435	2.52E-05	3.04E-06
58349.20477	2.65E-05	3.09E-06
58349.20573	2.81E-05	3.15E-06
58350.29678	2.36E-05	2.97E-06
58350.34784	2.90E-05	3.17E-06
58351.26238	2.25E-05	2.92E-06
58351.27955	2.37E-05	2.98E-06
58351.31047	3.24E-05	3.27E-06
58352.18594	2.99E-05	3.20E-06
58352.34775	3.19E-05	3.26E-06
58361.16058	2.28E-05	2.94E-06
58361.17859	2.61E-05	3.07E-06
58361.21601	2.76E-05	3.13E-06
58361.21792	2.92E-05	3.18E-06
58364.2226	2.57E-05	3.06E-06
58365.24198	2.64E-05	3.09E-06
58365.28619	1.89E-05	2.67E-06
58366.21653	2.71E-05	3.11E-06
58366.24656	2.06E-05	2.79E-06
58366.26494	2.61E-05	3.07E-06
58367.24019	2.67E-05	3.09E-06
58367.26544	2.69E-05	3.10E-06
58367.2673	2.40E-05	2.99E-06
58367.28043	2.84E-05	3.15E-06
58368.21892	2.31E-05	2.95E-06
58368.24105	2.27E-05	2.93E-06
